Household_ID,Date,County,Energy_Consumption_kWh,Has_AC
S596,2026-03-06,Ireland,0.25,No
S588,2026-02-19,Ireland,0.14,No
S544,2026-02-18,Limerick ,2.33,No
S645,2026-03-27,Clare,1.32,No
S488,2026-03-02,Limerick ,3.17,No
S212,2026-03-01,Limerick,0.263,No
S389,2026-02-22,Limerick,21.23,No
S528,2026-03-17,Limerick,2.8675,No
S245,2026-02-17,Limerick,0.36,No
S583,2026-02-24,Ireland,0.04,No
S369,2026-03-10,Limerick,16.630000000000003,No
S634,2026-03-03,iPhone ,2.246,No
S747,2026-03-01,Limerick,0.26,No
S773,2026-03-06,limerick,0.23,No
S767,2026-03-08,Limerick,0.795,No
S156,2026-03-04,Limerick,0.32,No
S514,2026-02-26,Limerick,2.765,No
S68,2026-03-05,Limerick,0.02504,No
S282,2026-03-02,Limerick,6.218,No
S110,2026-02-20,Limerick,0.42,No
S67,2026-03-09,Limerick,0.02976,No
S193,2026-03-04,Limerick,1.572,No
S79,2026-02-28,Roscommon,0.04564,No
S516,2026-02-28,Limerick,3.5425,No
S24,2026-02-17,"Limerick, Ireland",2.6,No
S582,2026-02-25,Ireland,0.03,No
S706,2026-02-24,Limerick,2.316,No
S444,2026-03-03,Limerick,6.398,No
S405,2026-03-10,Limerick,20.68,No
S40,2026-02-27,Limerick,0.7500000000000001,No
S465,2026-02-20,Limerick ,2.619,No
S87,2026-02-20,Roscommon,0.03312,No
S138,2026-02-17,Clare,0.39,No
S609,2026-02-18,Limerick,2.9600000000000004,No
S775,2026-03-08,limerick,0.44000000000000006,No
S297,2026-03-12,limerick,0.92,No
S730,2026-03-03,Limerick,9.26,No
S513,2026-02-25,Limerick,3.5125,No
S333,2026-03-09,Limerick ,2.33,No
S553,2026-02-27,Limerick,5.3,No
S341,2026-03-17,Limerick ,5.423,No
S777,2026-03-14,limerick,2.52,No
S119,2026-03-03,Limerick,0.26,No
S649,2026-03-18,Clare,2.6799999999999997,No
S216,2026-03-08,Limerick,1.5030000000000001,No
S776,2026-03-09,limerick,0.35,No
S351,2026-02-19,Limerick,9.024,No
S406,2026-03-11,Limerick,20.810000000000002,No
S78,2026-03-01,Roscommon,0.03826,No
S688,2026-02-22,Limerick,0.274,No
S471,2026-03-01,Limerick ,0.152,No
S679,2026-02-25,Ireland,1.1700000000000002,No
S50,2026-03-11,Limerick,0.45000000000000007,No
S653,2026-02-28,Limerick ,4.675,No
S205,2026-03-17,Limerick,1.55,No
S336,2026-03-14,Limerick ,0.74,No
S376,2026-03-18,Limerick,10.879999999999999,No
S608,2026-02-17,Limerick,3.7649999999999997,No
S733,2026-03-17,Limerick,7.79,No
S584,2026-02-23,Ireland,0.18,No
S287,2026-02-16,Limerick,4.81,No
S31,2026-02-18,Limerick,0.31500000000000006,No
S658,2026-02-20,Limerick,0.6399999999999999,No
S34,2026-02-21,Limerick,1.1300000000000001,No
S32,2026-02-19,Limerick,0.9000000000000001,No
S502,2026-03-10,limerick,4.64,No
S261,2026-02-20,"Dromroe Village,Oak house,Limerick",6.96,No
S312,2026-03-01,Limerick ,11.120000000000001,No
S480,2026-03-14,Limerick,8.34,No
S612,2026-02-26,Limerick,0.394,No
S248,2026-03-04,Limerick,4.9399999999999995,No
S674,2026-03-14,Limerick,6.88,No
S265,2026-02-24,Limerick,0.19,No
S232,2026-03-15,Galway,0.36,No
S324,2026-02-24,Limerick,4.59,No
S512,2026-02-23,Limerick,4.114999999999999,No
S236,2026-02-23,Galway,0.36,No
S743,2026-02-17,Limerick,2.1599999999999997,No
S515,2026-02-27,Limerick,2.7225,No
S266,2026-02-25,Limerick,0.09,No
S55,2026-03-16,Limerick,2.66,No
S732,2026-03-15,Limerick,8.24,No
S621,2026-03-03,Limerick,2.2199999999999998,No
S98,2026-02-20,Cork,8.56,No
S501,2026-02-24,limerick,0.73,No
S293,2026-02-16,Limerick,6.44,No
S697,2026-02-17,Limerick ,6.09,No
S746,2026-02-21,Limerick,0.87,No
S267,2026-02-27,Limerick,0.32999999999999996,No
S384,2026-02-17,Limerick,21.05,No
S121,2026-03-05,Limerick,0.25,No
S435,2026-02-22,Limerick,4.725,No
S85,2026-02-22,Roscommon,0.034870000000000005,No
S11,2026-02-27,Limerick,3.722,No
S446,2026-03-04,Limerick,4.29,No
S657,2026-02-19,Limerick,0.4,No
S469,2026-02-26,Limerick,3.4899999999999998,No
S330,2026-03-05,Ireland,1.52,No
